window,std_dev,累计收益率,年化收益率,最大回撤,Sharpe比率,交易次数,最终资金
50,2.5,2.3408110394165105,0.2728299400387151,0.17290876637673128,1.3601303320877534,14,334081.10394165106
30,2.25,1.3884408677596891,0.19020809227760038,0.28339016529776645,0.9770140601344823,16,238844.0867759689
45,2.25,1.3857216125446796,0.18993695686752687,0.2838626877010631,0.9838897775647509,14,238572.16125446797
50,2.25,1.321144124510738,0.18342413330585483,0.17619340093274316,1.030500781238514,14,232114.41245107382
40,2.25,1.2752525308616658,0.17870715887203303,0.2834261350298804,0.9215355959186845,14,227525.25308616657
45,2.5,0.9407392595934703,0.1418089379073837,0.18529340931675306,0.8364711781938616,12,194073.92595934702
30,2.5,0.9311425624259841,0.14067747909740613,0.28396506313482356,0.7532523622068164,14,193114.2562425984
10,2.0,0.8829890056334488,0.13493125654857607,0.317694852860411,0.7604613120617112,32,188298.90056334488
25,2.25,0.7727851793979041,0.1213242708271225,0.31607433421292563,0.6806517945971279,18,177278.5179397904
10,1.75,0.7663843545193536,0.12051336730809137,0.3791727573766432,0.6693235547771673,44,176638.43545193537
35,2.0,0.7643625400015133,0.1202567404727064,0.2995898442501425,0.6798071999786333,16,176436.25400015133
15,2.0,0.7387187341907286,0.11698120817111102,0.391028421841996,0.651503850795963,24,173871.87341907286
50,2.0,0.6619789771283613,0.10694260986533988,0.2819507573540805,0.6272365713283452,14,166197.89771283613
30,2.0,0.6590833066139141,0.10655661493656887,0.33002399588539244,0.6216811668497553,18,165908.3306613914
40,1.75,0.635475676401718,0.10338942646291849,0.28242735407361547,0.6057017594913712,20,163547.5676401718
10,2.25,0.6231215636456069,0.10171740247843841,0.3172353464169449,0.5704364442408771,20,162312.15636456068
40,2.0,0.6079704466145832,0.09965287115449128,0.2836043746770295,0.6047259290261403,18,160797.04466145832
10,1.5,0.6071155909771937,0.09953592318115101,0.4452979597496699,0.5616719061970148,66,160711.55909771938
25,1.75,0.5942621633608471,0.0977714905118805,0.3442240399168802,0.5647792498279466,26,159426.2163360847
45,1.75,0.5694748087760451,0.09433646257021566,0.29902806189319137,0.5601635919856375,20,156947.4808776045
25,2.0,0.5360457279144917,0.08963445870781883,0.3289385668284863,0.5387451516297669,18,153604.57279144917
20,1.75,0.5182810354524827,0.08710234727822685,0.38889333637684775,0.511990647581498,28,151828.10354524828
45,2.0,0.516106256424814,0.08679073657006642,0.28576175966496514,0.53225811006594,14,151610.6256424814
25,2.5,0.49778309090170425,0.08415102481259895,0.31095215117523506,0.5478622777165523,10,149778.30909017043
20,2.25,0.48454741841142246,0.08222812153240922,0.29580673120580186,0.5283777380423654,16,148454.74184114224
50,2.75,0.42929039711899164,0.0740490001954377,0.22107523832732626,0.48892638067917504,8,142929.03971189915
40,2.5,0.4275664822466838,0.07378978583403661,0.2830645185338574,0.4745625420574173,12,142756.64822466837
45,2.75,0.3754138189023122,0.06582689913591255,0.27909024041235075,0.4327242538894541,8,137541.38189023122
35,2.5,0.3732371690521965,0.06548934226683922,0.28473628678634266,0.42892344083298406,12,137323.71690521966
15,2.75,0.36735908503481474,0.06457561999027406,0.3121865874218181,0.4466735353049752,6,136735.90850348148
15,2.25,0.327901519688353,0.05835940528562422,0.3652164010108159,0.3929355405548588,18,132790.1519688353
25,2.75,0.3276451192581695,0.058318531054526446,0.2808467364872711,0.4076240842755318,8,132764.51192581694
20,2.5,0.32535922999755074,0.05795384522594249,0.31095215117523506,0.4059098862010369,12,132535.92299975507
15,2.5,0.3090091927952223,0.055330620224967264,0.3666931144674265,0.37223211066169454,12,130900.91927952223
35,1.75,0.2996321377333806,0.053814302161919514,0.3546006420545039,0.37140850035477724,18,129963.21377333807
35,2.25,0.2743060163980988,0.04967474121799209,0.2821792025468473,0.3524687619043217,12,127430.60163980987
10,2.5,0.27146289157503767,0.049205933376903266,0.4416397676396781,0.34868860895011855,8,127146.28915750376
20,2.0,0.2507927011791409,0.04577213971591454,0.4150457667004741,0.32484114069290443,20,125079.27011791409
30,2.75,0.24894514529440936,0.04546301334138425,0.2801287028665698,0.3408043518382552,8,124894.51452944093
50,1.75,0.2433366066872258,0.044522366668642954,0.3450056682609151,0.3256711341475744,16,124333.66066872259
35,3.0,0.2352146800148045,0.04315414694175268,0.2795270304611125,0.33473944762245816,6,123521.46800148045
