short_window,long_window,累计收益率,年化收益率,最大回撤,Sharpe比率,交易次数,最终资金
15,45,0.5544119331101405,0.09222779517479784,0.2279536952461031,0.8074085000286462,25,155441.19331101404
15,50,0.49454159564591293,0.0836813551243305,0.19687734723720415,0.7426740549828889,27,149454.1595645913
20,45,0.4693708424924128,0.0800062867389284,0.223422940866855,0.7108136512623345,26,146937.08424924128
10,50,0.4555533466818047,0.07796739592790192,0.22641473260784287,0.6718713417076164,27,145555.33466818047
10,55,0.4416153411498751,0.0758949748010469,0.21731224828779327,0.669742215633033,27,144161.5341149875
5,25,0.4294540148160082,0.07407358937311415,0.2862323305610724,0.5409773865051538,51,142945.40148160083
20,70,0.4135167832838771,0.07166782975537767,0.1499449491033007,0.7238071835519395,18,141351.6783283877
30,75,0.3940246168105277,0.06869576551053402,0.20528411632882254,0.667007910063452,15,139402.46168105278
10,45,0.3903653894168284,0.06813412358754078,0.2240645970874803,0.5905898129269046,29,139036.53894168284
10,20,0.36304547737984794,0.06390308746484519,0.3589889451520067,0.4666312671478751,71,136304.5477379848
5,40,0.3437154967512033,0.06086828238876829,0.21193547967463366,0.5287007613794061,35,134371.54967512033
5,50,0.3180720268564794,0.05678789169005416,0.21265657942892574,0.5057651380585267,29,131807.20268564794
30,65,0.3051047876206212,0.05470031705893308,0.19279381640195759,0.5650058310079452,20,130510.47876206212
20,65,0.299657619313765,0.053818434507138635,0.14544859898015366,0.5555881030396145,22,129965.7619313765
5,30,0.2693379514030765,0.04885500032589918,0.31222163899014144,0.3882861340587821,51,126933.79514030764
25,65,0.2573238402625837,0.046861986536007816,0.19447991389080746,0.5000885377492957,18,125732.38402625837
30,60,0.25704351970482797,0.04681530276201551,0.2096361296567442,0.4999338060258718,20,125704.35197048279
25,40,0.2556062035631341,0.04657580538060113,0.1948941928365129,0.42580748694139775,40,125560.62035631342
20,60,0.25255721067102765,0.04606703022564407,0.18872413488229003,0.49209095267403796,24,125255.72106710277
20,75,0.2519049562594975,0.04595806210920439,0.152992128676466,0.47574158411438594,18,125190.49562594976
5,35,0.23958154288930578,0.04389068012124664,0.23779166998474854,0.36022619734755557,49,123958.15428893057
25,55,0.23079722606577957,0.04240695836751707,0.19999965437069425,0.44129410608080344,22,123079.72260657795
5,55,0.22643343939024252,0.04166673789633779,0.22571400443532957,0.37049386213439084,35,122643.34393902424
5,45,0.2233277331907988,0.04113863867021861,0.22244924250562614,0.3788668087008086,39,122332.77331907988
20,50,0.2201383287888159,0.04059518977527632,0.2181693254525334,0.4102636717691283,24,122013.83287888159
15,35,0.19880288596221773,0.03693027811344929,0.21274805312268516,0.3378200167364916,35,119880.28859622178
5,60,0.18818593467701827,0.035087064917855404,0.17834539772753935,0.3351989494424723,35,118818.59346770184
5,20,0.18008325646290624,0.03367147013966143,0.3474385314027809,0.2922282331187853,73,118008.32564629063
10,60,0.1779522361127206,0.03329787483947033,0.20813043137622395,0.34220166407182734,27,117795.22361127206
25,70,0.17427472861186755,0.032651886862839596,0.21344061935352968,0.35376940669861323,18,117427.47286118675
15,85,0.16913969984523658,0.031747158732425396,0.17327820623926776,0.35203004109175107,20,116913.96998452366
30,55,0.16829716581675536,0.031598411277204974,0.1921957042664575,0.35149829994886267,20,116829.71658167554
30,80,0.1525996735561117,0.028811235440139082,0.19220445935790537,0.3130875693383269,15,115259.96735561118
15,80,0.15045233008526848,0.028427605403577916,0.18442978211676966,0.31578823223630814,20,115045.23300852685
30,50,0.15043611100222987,0.028424705631660663,0.19308785248239735,0.3185881634962039,20,115043.61110022299
20,40,0.14864644203661714,0.028104533807860932,0.22208835737206548,0.28215515611197267,28,114864.64420366171
30,85,0.14288948306902793,0.02707189974216151,0.2083351230778998,0.30103702194811954,15,114288.94830690279
20,55,0.13981373067588265,0.026518491030023128,0.1736831239951971,0.29881979915945467,22,113981.37306758827
25,50,0.1364583136062869,0.025913399050434993,0.21279466344799045,0.2994143205930959,24,113645.8313606287
30,70,0.12166007081329466,0.023227614001977592,0.21867505430689865,0.2799244597183439,17,112166.00708132946
25,80,0.11786030207271048,0.022533409471158894,0.21877794627075614,0.2754285354555814,15,111786.03020727105
10,30,0.10950063072763183,0.020999456002537942,0.3159426117503245,0.22437556407728765,41,110950.0630727632
15,20,0.09350342584473004,0.01803809496604658,0.3478514565597058,0.19430963808364246,75,109350.342584473
10,75,0.08840376328576016,0.017086774186489517,0.1775337552073974,0.21937021951440402,20,108840.376328576
5,70,0.08268568359913742,0.01601584009104373,0.2031971833574682,0.19138771234579646,30,108268.56835991374
15,30,0.08007507324222729,0.01552539610201742,0.2585028228639911,0.1824582046707495,45,108007.50732422272
10,65,0.06874986522604853,0.013386733640312842,0.17660430175444666,0.17961894616364407,22,106874.98652260486
10,25,0.05129044569300123,0.010053885180675959,0.3387521611233798,0.14420306711742015,47,105129.04456930012
25,60,0.05042870568350866,0.009888243159347665,0.17607196484619145,0.15245441895739364,22,105042.87056835086
10,70,0.04933344612503543,0.009677557493086963,0.17278848842907005,0.14548245850726285,22,104933.34461250354
10,40,0.04905257971268773,0.009623501295599857,0.23113031925151342,0.142076637276116,31,104905.25797126877
20,35,0.042202039169976446,0.008301431385167701,0.23214328639475224,0.13115465570590118,43,104220.20391699763
5,75,0.0404436269602535,0.007960958565337517,0.20488807338708345,0.12838797215839173,36,104044.36269602535
