date,open,close,high,low,volume,middle_band,std,upper_band,lower_band,signal,position,prev_close,limit_up,limit_down,portfolio,cash,trade_executed,returns,max_drawdown
2023-01-03,1567.99,1566.91,1574.54,1545.18,2603380.0,,,,,0,0.0,,,,100000.0,100000.0,0,0.0,0.0
2023-01-04,1566.91,1562.39,1574.78,1554.22,2041575.0,,,,,0,0.0,1566.91,1723.6010000000003,1410.219,100000.0,100000.0,0,0.0,0.0
2023-01-05,1573.25,1631.21,1631.21,1569.62,4794285.0,,,,,0,0.0,1562.39,1718.6290000000004,1406.151,100000.0,100000.0,0,0.0,0.0
2023-01-06,1635.85,1633.72,1641.08,1618.53,2490375.0,,,,,0,0.0,1631.21,1794.3310000000001,1468.0890000000002,100000.0,100000.0,0,0.0,0.0
2023-01-09,1662.01,1667.62,1675.57,1637.39,3097723.0,,,,,0,0.0,1633.72,1797.092,1470.348,100000.0,100000.0,0,0.0,0.0
2023-01-10,1665.68,1679.62,1688.73,1657.93,2273173.0,,,,,0,0.0,1667.62,1834.382,1500.858,100000.0,100000.0,0,0.0,0.0
2023-01-11,1681.03,1671.02,1684.65,1663.67,2272031.0,,,,,0,0.0,1679.62,1847.582,1511.658,100000.0,100000.0,0,0.0,0.0
2023-01-12,1673.78,1661.1,1681.03,1660.19,1719317.0,,,,,0,0.0,1671.02,1838.122,1503.9180000000001,100000.0,100000.0,0,0.0,0.0
2023-01-13,1670.32,1709.1,1710.01,1666.53,3193965.0,,,,,0,0.0,1661.1,1827.21,1494.99,100000.0,100000.0,0,0.0,0.0
2023-01-16,1708.2,1732.56,1752.58,1703.67,3684826.0,,,,,0,0.0,1709.1,1880.01,1538.19,100000.0,100000.0,0,0.0,0.0
2023-01-17,1732.8,1728.12,1741.71,1716.35,2129923.0,,,,,0,0.0,1732.56,1905.816,1559.304,100000.0,100000.0,0,0.0,0.0
2023-01-18,1733.56,1714.54,1743.79,1711.82,2106293.0,,,,,0,0.0,1728.12,1900.932,1555.308,100000.0,100000.0,0,0.0,0.0
