date,open,close,high,low,volume,short_ma,long_ma,signal,position,prev_close,limit_up,limit_down,cash,trade_executed,portfolio,returns,max_drawdown
2023-01-03,1567.99,1566.91,1574.54,1545.18,2603380.0,,,0,0.0,,,,100000.0,0,100000.0,0.0,0.0
2023-01-04,1566.91,1562.39,1574.78,1554.22,2041575.0,,,0,0.0,1566.91,1723.6010000000003,1410.219,100000.0,0,100000.0,0.0,0.0
2023-01-05,1573.25,1631.21,1631.21,1569.62,4794285.0,,,0,0.0,1562.39,1718.6290000000004,1406.151,100000.0,0,100000.0,0.0,0.0
2023-01-06,1635.85,1633.72,1641.08,1618.53,2490375.0,,,0,0.0,1631.21,1794.3310000000001,1468.0890000000002,100000.0,0,100000.0,0.0,0.0
2023-01-09,1662.01,1667.62,1675.57,1637.39,3097723.0,1612.3700000000001,,0,0.0,1633.72,1797.092,1470.348,100000.0,0,100000.0,0.0,0.0
2023-01-10,1665.68,1679.62,1688.73,1657.93,2273173.0,1634.912,,0,0.0,1667.62,1834.382,1500.858,100000.0,0,100000.0,0.0,0.0
2023-01-11,1681.03,1671.02,1684.65,1663.67,2272031.0,1656.6380000000001,,0,0.0,1679.62,1847.582,1511.658,100000.0,0,100000.0,0.0,0.0
2023-01-12,1673.78,1661.1,1681.03,1660.19,1719317.0,1662.616,,0,0.0,1671.02,1838.122,1503.9180000000001,100000.0,0,100000.0,0.0,0.0
2023-01-13,1670.32,1709.1,1710.01,1666.53,3193965.0,1677.6919999999998,,0,0.0,1661.1,1827.21,1494.99,100000.0,0,100000.0,0.0,0.0
2023-01-16,1708.2,1732.56,1752.58,1703.67,3684826.0,1690.6799999999998,,0,0.0,1709.1,1880.01,1538.19,100000.0,0,100000.0,0.0,0.0
2023-01-17,1732.8,1728.12,1741.71,1716.35,2129923.0,1700.3799999999999,,0,0.0,1732.56,1905.816,1559.304,100000.0,0,100000.0,0.0,0.0
2023-01-18,1733.56,1714.54,1743.79,1711.82,2106293.0,1709.084,,0,0.0,1728.12,1900.932,1555.308,100000.0,0,100000.0,0.0,0.0
2023-01-19,1714.09,1702.95,1714.1,1690.08,2343889.0,1717.4540000000002,,0,0.0,1714.54,1885.9940000000001,1543.086,100000.0,0,100000.0,0.0,0.0
2023-01-20,1711.09,1684.66,1719.29,1682.84,2560875.0,1712.566,,0,0.0,1702.95,1873.2450000000001,1532.655,100000.0,0,100000.0,0.0,0.0
2023-01-30,1729.03,1710.01,1729.03,1702.76,3592255.0,1708.0559999999998,,0,0.0,1684.66,1853.1260000000002,1516.1940000000002,100000.0,0,100000.0,0.0,0.0
2023-01-31,1717.71,1671.75,1720.83,1660.26,3299068.0,1696.782,,0,0.0,1710.01,1881.0110000000002,1539.009,100000.0,0,100000.0,0.0,0.0
2023-02-01,1680.1,1671.04,1683.74,1640.63,3397389.0,1688.0819999999999,,0,0.0,1671.75,1838.9250000000002,1504.575,100000.0,0,100000.0,0.0,0.0
2023-02-02,1674.12,1663.01,1683.74,1653.85,2975886.0,1680.0939999999998,,0,0.0,1671.04,1838.144,1503.936,100000.0,0,100000.0,0.0,0.0
2023-02-03,1648.42,1646.61,1653.85,1626.39,3494490.0,1672.484,,0,0.0,1663.01,1829.3110000000001,1496.709,100000.0,0,100000.0,0.0,0.0
2023-02-06,1612.19,1625.78,1625.78,1594.08,4266095.0,1655.6380000000001,1666.6860000000001,0,0.0,1646.61,1811.271,1481.9489999999998,100000.0,0,100000.0,0.0,0.0
2023-02-07,1637.62,1627.59,1638.28,1619.19,2432171.0,1646.8059999999998,1669.72,0,0.0,1625.78,1788.3580000000002,1463.202,100000.0,0,100000.0,0.0,0.0
2023-02-08,1630.31,1615.81,1635.71,1607.66,1667577.0,1635.7599999999998,1672.391,0,0.0,1627.59,1790.3490000000002,1464.831,100000.0,0,100000.0,0.0,0.0
2023-02-09,1610.38,1646.61,1657.25,1607.67,2975366.0,1632.48,1673.161,0,0.0,1615.81,1777.391,1454.229,100000.0,0,100000.0,0.0,0.0
2023-02-10,1639.45,1639.36,1647.05,1631.26,1798451.0,1631.03,1673.443,0,0.0,1646.61,1811.271,1481.9489999999998,100000.0,0,100000.0,0.0,0.0
2023-02-13,1639.36,1681.34,1697.78,1639.36,3814670.0,1642.1419999999998,1674.1290000000001,0,0.0,1639.36,1803.296,1475.424,100000.0,0,100000.0,0.0,0.0
2023-02-14,1681.44,1669.97,1682.29,1662.01,1956576.0,1650.618,1673.6465,0,0.0,1681.34,1849.4740000000002,1513.206,100000.0,0,100000.0,0.0,0.0
2023-02-15,1669.96,1667.44,1680.39,1662.74,1817691.0,1660.9440000000002,1673.4675,0,0.0,1669.97,1836.967,1502.973,100000.0,0,100000.0,0.0,0.0
2023-02-16,1667.75,1686.3,1709.1,1655.67,3324595.0,1668.882,1674.7274999999997,0,0.0,1667.44,1834.1840000000002,1500.6960000000001,100000.0,0,100000.0,0.0,0.0
