date,open,close,high,low,volume,short_ma,long_ma,signal,position,portfolio,cash,returns,max_drawdown
2023-01-03,1567.99,1566.91,1574.54,1545.18,2603380.0,,,0,0.0,100000.0,100000.0,0.0,0.0
2023-01-04,1566.91,1562.39,1574.78,1554.22,2041575.0,,,0,0.0,100000.0,100000.0,0.0,0.0
2023-01-05,1573.25,1631.21,1631.21,1569.62,4794285.0,,,0,0.0,100000.0,100000.0,0.0,0.0
2023-01-06,1635.85,1633.72,1641.08,1618.53,2490375.0,,,0,0.0,100000.0,100000.0,0.0,0.0
2023-01-09,1662.01,1667.62,1675.57,1637.39,3097723.0,1612.3700000000001,,0,0.0,100000.0,100000.0,0.0,0.0
2023-01-10,1665.68,1679.62,1688.73,1657.93,2273173.0,1634.912,,0,0.0,100000.0,100000.0,0.0,0.0
2023-01-11,1681.03,1671.02,1684.65,1663.67,2272031.0,1656.6380000000001,,0,0.0,100000.0,100000.0,0.0,0.0
2023-01-12,1673.78,1661.1,1681.03,1660.19,1719317.0,1662.616,,0,0.0,100000.0,100000.0,0.0,0.0
2023-01-13,1670.32,1709.1,1710.01,1666.53,3193965.0,1677.6919999999998,,0,0.0,100000.0,100000.0,0.0,0.0
2023-01-16,1708.2,1732.56,1752.58,1703.67,3684826.0,1690.6799999999998,,0,0.0,100000.0,100000.0,0.0,0.0
2023-01-17,1732.8,1728.12,1741.71,1716.35,2129923.0,1700.3799999999999,,0,0.0,100000.0,100000.0,0.0,0.0
2023-01-18,1733.56,1714.54,1743.79,1711.82,2106293.0,1709.084,,0,0.0,100000.0,100000.0,0.0,0.0
2023-01-19,1714.09,1702.95,1714.1,1690.08,2343889.0,1717.4540000000002,,0,0.0,100000.0,100000.0,0.0,0.0
2023-01-20,1711.09,1684.66,1719.29,1682.84,2560875.0,1712.566,,0,0.0,100000.0,100000.0,0.0,0.0
2023-01-30,1729.03,1710.01,1729.03,1702.76,3592255.0,1708.0559999999998,,0,0.0,100000.0,100000.0,0.0,0.0
2023-01-31,1717.71,1671.75,1720.83,1660.26,3299068.0,1696.782,,0,0.0,100000.0,100000.0,0.0,0.0
2023-02-01,1680.1,1671.04,1683.74,1640.63,3397389.0,1688.0819999999999,,0,0.0,100000.0,100000.0,0.0,0.0
2023-02-02,1674.12,1663.01,1683.74,1653.85,2975886.0,1680.0939999999998,,0,0.0,100000.0,100000.0,0.0,0.0
2023-02-03,1648.42,1646.61,1653.85,1626.39,3494490.0,1672.484,,0,0.0,100000.0,100000.0,0.0,0.0
2023-02-06,1612.19,1625.78,1625.78,1594.08,4266095.0,1655.6380000000001,1666.6860000000001,0,0.0,100000.0,100000.0,0.0,0.0
2023-02-07,1637.62,1627.59,1638.28,1619.19,2432171.0,1646.8059999999998,1669.72,0,0.0,100000.0,100000.0,0.0,0.0
2023-02-08,1630.31,1615.81,1635.71,1607.66,1667577.0,1635.7599999999998,1672.391,0,0.0,100000.0,100000.0,0.0,0.0
2023-02-09,1610.38,1646.61,1657.25,1607.67,2975366.0,1632.48,1673.161,0,0.0,100000.0,100000.0,0.0,0.0
2023-02-10,1639.45,1639.36,1647.05,1631.26,1798451.0,1631.03,1673.443,0,0.0,100000.0,100000.0,0.0,0.0
2023-02-13,1639.36,1681.34,1697.78,1639.36,3814670.0,1642.1419999999998,1674.1290000000001,0,0.0,100000.0,100000.0,0.0,0.0
2023-02-14,1681.44,1669.97,1682.29,1662.01,1956576.0,1650.618,1673.6465,0,0.0,100000.0,100000.0,0.0,0.0
2023-02-15,1669.96,1667.44,1680.39,1662.74,1817691.0,1660.9440000000002,1673.4675,0,0.0,100000.0,100000.0,0.0,0.0
2023-02-16,1667.75,1686.3,1709.1,1655.67,3324595.0,1668.882,1674.7274999999997,0,0.0,100000.0,100000.0,0.0,0.0
2023-02-17,1675.74,1649.13,1696.42,1648.47,2644283.0,1670.836,1671.729,0,0.0,100000.0,100000.0,0.0,0.0
2023-02-20,1649.33,1698.24,1701.68,1645.88,2966869.0,1674.216,1670.0130000000001,1,58.0,99960.59787706239,1462.6778770623932,-0.00039402122937604034,0.0003940212293760851
2023-02-21,1697.33,1690.99,1697.33,1676.5,1875052.0,1678.42,1668.1564999999998,0,58.0,99540.09787706239,1462.6778770623932,-0.004206657512364598,0.004599021229376085
2023-02-22,1680.13,1662.91,1688.18,1659.11,2186916.0,1677.514,1665.575,0,58.0,97911.45787706239,1462.6778770623932,-0.01636164756449665,0.02088542122937608
2023-02-23,1666.53,1646.61,1674.51,1635.06,2188097.0,1669.5759999999998,1662.7579999999998,0,58.0,96966.05787706238,1462.6778770623932,-0.00965566258023709,0.030339421229376166
2023-02-24,1639.46,1619.44,1639.54,1614.17,2463461.0,1663.6380000000001,1659.497,0,58.0,95390.1978770624,1462.6778770623932,-0.016251666144847632,0.04609802122937603
2023-02-27,1610.83,1639.73,1643.89,1607.68,2206489.0,1651.9360000000001,1655.9830000000002,-1,0.0,96528.9789941926,96528.9789941926,0.01193813559961221,0.03471021005807401
2023-02-28,1647.51,1642.75,1650.24,1615.18,2395181.0,1642.288,1654.5330000000001,0,0.0,96528.9789941926,96528.9789941926,0.0,0.03471021005807401
2023-03-01,1642.08,1665.2,1673.78,1633.23,2445810.0,1642.7459999999999,1654.241,0,0.0,96528.9789941926,96528.9789941926,0.0,0.03471021005807401
2023-03-02,1656.57,1655.67,1665.62,1649.42,1314419.0,1644.5580000000002,1653.8740000000003,0,0.0,96528.9789941926,96528.9789941926,0.0,0.03471021005807401
2023-03-03,1666.33,1646.65,1667.99,1632.55,1619806.0,1650.0,1653.8760000000002,0,0.0,96528.9789941926,96528.9789941926,0.0,0.03471021005807401
2023-03-06,1646.77,1636.77,1647.06,1627.38,2064586.0,1649.4080000000001,1654.4254999999998,0,0.0,96528.9789941926,96528.9789941926,0.0,0.03471021005807401
2023-03-07,1635.72,1619.71,1645.34,1619.44,2278539.0,1644.8,1654.0315000000003,0,0.0,96528.9789941926,96528.9789941926,0.0,0.03471021005807401
2023-03-08,1612.21,1603.51,1617.57,1595.09,2276370.0,1632.462,1653.4165,0,0.0,96528.9789941926,96528.9789941926,0.0,0.03471021005807401
2023-03-09,1601.32,1603.15,1616.72,1575.96,2761150.0,1621.958,1651.2435,0,0.0,96528.9789941926,96528.9789941926,0.0,0.03471021005807401
2023-03-10,1586.44,1585.02,1613.1,1585.02,2116082.0,1609.632,1648.5265,0,0.0,96528.9789941926,96528.9789941926,0.0,0.03471021005807401
2023-03-13,1585.93,1595.89,1607.66,1584.11,2056043.0,1601.4560000000001,1644.2540000000001,0,0.0,96528.9789941926,96528.9789941926,0.0,0.03471021005807401
